Instancia;Tempo(ms);Solucao
1;0;b4 c2 a3 b1 d2 f1 g3 h1 f2 d1 c3 b5 c7
2;0;b7 c8 g4 b4 c5 e7 a3 a1 a4
3;104;a1 c1 c7 d6 e5 f6 f3 e2 d3 f1 g2 f3 f7 e8 a8 b7 c6 d5 e6 f7 h7
4;36;h3 f3 f6 e6 f7 g8 c4 b5 d6 b7 a5 b3 a1 a2 b3 c4 g4
5;1219;g2 h4 f3 d4 e2 f4 e6 f8 d7 b6 a4 b2 c4 b4 b1 b5 c5 c6 g6 f6 e5 d4 c5 b5 a6 c8 d7 e6 f6 g7 h7 h5 h2
6;2618;b8 b7 c8 d8 c7 c6 b6 b5 c5 b4 c4 c3 d4 e5 e6 f7 e6 e5 f4 g3 g2 h1 h2 h3 f3 e3 d4 c3 b4 a4 a3 a5 b4 c3 d3 e2 d1
7;4020;e3 e5 d6 c6 b7 b5 b4 a4 b3 c3 d3 d2 f4 f5 g6 f7 e8 d8 c7 g3 g4 g2 h2 b8 a8 b7 c8 f8 e7 d6 d5 e4 e3 f2 e1 d1 c2 c1 b1
8;252;
9;2219;h7 h6 h8 g7 e5 d6 c6 c7 b6 c5 a3 a2 a1 a4 c4 a6 a5 b6 c7 d8 c8 e8 a8 b8 c7 b6 b5 b4 c3 d3 d4 d2 d1 c1 e3 f3 f2 e2 h2 g2 f2 e2 d1 b1
10;4336;b8 b7 a7 a8 b7 c7 d7 d6 d5 e5 e6 e4 f4 d4 c4 b4 c4 d4 e4 f4 g4 e3 g2 h4 f3 d2 f1 g3 f3 e3 d4 c4 b5 a4 a3 b2 c2 c1 b1 a1 b2 c3 d3 d8 e8 e7 d6 e5 f4 g4 h3 g5 h7 h8 g8 g7
